Microbe species,Relative Abundance
Streptococcus salivarius,0.001889452
Streptococcus salivarius,0.000504455
Streptococcus salivarius,0.000648843
Streptococcus salivarius,0.00148799
Streptococcus salivarius,0.000909792
Streptococcus salivarius,0.002885784
Streptococcus salivarius,0.002641059
Streptococcus salivarius,0.000212206
Streptococcus salivarius,1.57E-05
Streptococcus salivarius,0.000499996
Streptococcus salivarius,0.003441235
Streptococcus salivarius,0.001723865
Streptococcus salivarius,0.00511027
Streptococcus salivarius,0.061799939
Streptococcus salivarius,0.000367211
Streptococcus salivarius,0.000535027
Streptococcus salivarius,0.000183488
Streptococcus salivarius,0.001198638
Streptococcus salivarius,0.000731909
Streptococcus salivarius,0.002350019
Streptococcus salivarius,0.001428354
Streptococcus salivarius,0.000650622
Streptococcus salivarius,0.00010282
Streptococcus salivarius,0.00096756
Streptococcus salivarius,0.00680469
Streptococcus salivarius,0.00145435
Streptococcus salivarius,0.001496833
Streptococcus salivarius,0.001006078
Streptococcus salivarius,0.07561035
Streptococcus salivarius,0.000307434
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,0.000106932
Clostridium symbiosum,3.05E-06
Clostridium symbiosum,2.22E-06
Clostridium symbiosum,9.85E-06
Clostridium symbiosum,0
Clostridium symbiosum,0.000341484
Clostridium symbiosum,0.000104584
Clostridium symbiosum,0.000203655
Clostridium symbiosum,7.80E-07
Clostridium symbiosum,0
Clostridium symbiosum,7.44E-05
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,0.000112294
Clostridium symbiosum,0
Clostridium symbiosum,0.000338215
Clostridium symbiosum,7.26E-05
Clostridium symbiosum,0.000115813
Clostridium symbiosum,0
Clostridium symbiosum,2.65E-06
Clostridium symbiosum,3.51E-05
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,7.68E-06
Clostridium symbiosum,0
Clostridium symbiosum,1.16E-05
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,1.88E-05
Clostridium symbiosum,9.88E-06
Clostridium symbiosum,0
Clostridium symbiosum,4.07E-06
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,9.90E-05
Clostridium symbiosum,0.000304913
Clostridium symbiosum,1.86E-05
Clostridium symbiosum,2.06E-05
Clostridium symbiosum,0.000368589
Clostridium symbiosum,5.30E-05
Clostridium symbiosum,4.88E-06
Clostridium symbiosum,1.77E-05
Clostridium symbiosum,0
Clostridium symbiosum,0.000425621
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,0.000190963
Clostridium symbiosum,0
Clostridium symbiosum,3.38E-06
Clostridium symbiosum,5.65E-06
Clostridium symbiosum,3.99E-05
Clostridium symbiosum,0
Clostridium symbiosum,1.56E-05
Clostridium symbiosum,0
Clostridium symbiosum,2.94E-06
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,4.06E-05
Clostridium symbiosum,0
Clostridium symbiosum,0.000140527
Clostridium symbiosum,0
Clostridium symbiosum,4.04E-06
Clostridium symbiosum,4.16E-05
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,0.000111318
Clostridium symbiosum,0.000776221
Clostridium symbiosum,1.05E-05
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,2.57E-06
Clostridium symbiosum,0
Clostridium symbiosum,1.76E-06
Clostridium symbiosum,0.001307167
Clostridium symbiosum,0
Clostridium symbiosum,0
Clostridium symbiosum,4.41E-06
Clostridium symbiosum,3.89E-05
Clostridium symbiosum,0
Clostridium symbiosum,2.97E-05
Clostridium symbiosum,3.73E-06
Clostridium symbiosum,4.91E-05
Clostridium symbiosum,0
Clostridium symbiosum,4.16E-06
unnamed Ruminococcus sp. SR1/5,0.007617209
unnamed Ruminococcus sp. SR1/5,0.005096172
unnamed Ruminococcus sp. SR1/5,0.002189268
unnamed Ruminococcus sp. SR1/5,0.010094169
unnamed Ruminococcus sp. SR1/5,0.013688243
unnamed Ruminococcus sp. SR1/5,0.001227291
unnamed Ruminococcus sp. SR1/5,0.005418447
unnamed Ruminococcus sp. SR1/5,0.003964534
unnamed Ruminococcus sp. SR1/5,0.013038457
unnamed Ruminococcus sp. SR1/5,0.000623776
unnamed Ruminococcus sp. SR1/5,0.004386851
unnamed Ruminococcus sp. SR1/5,0.000505474
unnamed Ruminococcus sp. SR1/5,0.005448879
unnamed Ruminococcus sp. SR1/5,0.010899849
unnamed Ruminococcus sp. SR1/5,0.006869903
unnamed Ruminococcus sp. SR1/5,0.001056361
unnamed Ruminococcus sp. SR1/5,2.76E-05
unnamed Ruminococcus sp. SR1/5,0.008608751
unnamed Ruminococcus sp. SR1/5,0.000434738
unnamed Ruminococcus sp. SR1/5,0.000820523
unnamed Ruminococcus sp. SR1/5,0.003353263
unnamed Ruminococcus sp. SR1/5,0.000541745
unnamed Ruminococcus sp. SR1/5,0.005607492
unnamed Ruminococcus sp. SR1/5,0.012859519
unnamed Ruminococcus sp. SR1/5,0.003687477
unnamed Ruminococcus sp. SR1/5,0.000475055
unnamed Ruminococcus sp. SR1/5,0.000617216
unnamed Ruminococcus sp. SR1/5,0.018715396
unnamed Ruminococcus sp. SR1/5,3.35E-06
unnamed Ruminococcus sp. SR1/5,0.011419333
unnamed Ruminococcus sp. SR1/5,0.000775824
unnamed Ruminococcus sp. SR1/5,0.001617565
unnamed Ruminococcus sp. SR1/5,0.001887442
unnamed Ruminococcus sp. SR1/5,0.007382345
unnamed Ruminococcus sp. SR1/5,0.002598792
unnamed Ruminococcus sp. SR1/5,0.010378313
unnamed Ruminococcus sp. SR1/5,7.10E-05
unnamed Ruminococcus sp. SR1/5,0.000548272
unnamed Ruminococcus sp. SR1/5,0.00834136
unnamed Ruminococcus sp. SR1/5,0.020622569
unnamed Ruminococcus sp. SR1/5,0.001473843
unnamed Ruminococcus sp. SR1/5,0.004092424
unnamed Ruminococcus sp. SR1/5,0.008880295
unnamed Ruminococcus sp. SR1/5,0.001051959
unnamed Ruminococcus sp. SR1/5,0.001570687
unnamed Ruminococcus sp. SR1/5,0.008982357
unnamed Ruminococcus sp. SR1/5,0.105351508
unnamed Ruminococcus sp. SR1/5,0.004397495
unnamed Ruminococcus sp. SR1/5,0.002625643
unnamed Ruminococcus sp. SR1/5,0.006016071
unnamed Ruminococcus sp. SR1/5,0.014321145
unnamed Ruminococcus sp. SR1/5,0.000500641
unnamed Ruminococcus sp. SR1/5,0.00130621
unnamed Ruminococcus sp. SR1/5,0.002027679
unnamed Ruminococcus sp. SR1/5,0.003279819
unnamed Ruminococcus sp. SR1/5,0.024106385
unnamed Ruminococcus sp. SR1/5,0.005619343
unnamed Ruminococcus sp. SR1/5,0.002771608
unnamed Ruminococcus sp. SR1/5,0.004583586
unnamed Ruminococcus sp. SR1/5,0.002977206
unnamed Ruminococcus sp. SR1/5,0.005111354
unnamed Ruminococcus sp. SR1/5,0.0020911
unnamed Ruminococcus sp. SR1/5,0.004220916
unnamed Ruminococcus sp. SR1/5,0.011421949
unnamed Ruminococcus sp. SR1/5,0.010065846
unnamed Ruminococcus sp. SR1/5,2.79E-05
unnamed Ruminococcus sp. SR1/5,0.001044997
unnamed Ruminococcus sp. SR1/5,0.000475412
unnamed Ruminococcus sp. SR1/5,0.017710484
unnamed Ruminococcus sp. SR1/5,0.000688094
unnamed Ruminococcus sp. SR1/5,0.008549183
unnamed Ruminococcus sp. SR1/5,0.007294956
unnamed Ruminococcus sp. SR1/5,0.00237007
unnamed Ruminococcus sp. SR1/5,0.001201031
unnamed Ruminococcus sp. SR1/5,0.005215729
unnamed Ruminococcus sp. SR1/5,0.014235336
unnamed Ruminococcus sp. SR1/5,0.002440075
unnamed Ruminococcus sp. SR1/5,0.02234996
unnamed Ruminococcus sp. SR1/5,0.004551302
unnamed Ruminococcus sp. SR1/5,0.001661879
unnamed Ruminococcus sp. SR1/5,0.001285704
unnamed Ruminococcus sp. SR1/5,0.006961974
unnamed Ruminococcus sp. SR1/5,0.001077471
unnamed Ruminococcus sp. SR1/5,0.001952559
unnamed Ruminococcus sp. SR1/5,0.000750729
unnamed Ruminococcus sp. SR1/5,0.005055254
unnamed Ruminococcus sp. SR1/5,0.005035127
unnamed Ruminococcus sp. SR1/5,0.000292844
